Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Научная
Создание условий для занятий физической культурой для студентов с ограниченными возможностями здоровья;Социальная
Студенческая футбольная лига Санкт-Петербурга;Социальная
Укрепление гражданского общества в Чеченской Республике через поддержку студенческого правового волонтерского движения и бесплатную юридическую помощь нуждающемуся населению.;Социальная
Создание в регионах РФ оснащенных дежурных пунктов координации и управления добровольными студенческими спасательными отрядами;Социальная
Научно - просветительская программа содействия развитию образовательных процессов молодежи: Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Научная
Организация инновационного межвузовского Завода-лаборатории для производственной практики студентов;Научная
Система правовой поддержки студентов «СТУДЕНТПРАВ»;Социальная
«Формирование межнациональной и межконфессиональной толерантности на базе центра профилактического сопровождение студентов Оренбургского государственного аграрного университета».;Социальная
Содействие в создании условий для реализации права на труд по специальности студентам Ивановской области, приобретающим педагогическую профессию;Социальная
Программа развития и повышения качества работы студенческих педагогических отрядов, путем стандартизации норм подготовки и эффективной деятельности Всероссийской опорной площадки СПО;Социальная
Программа развития детельности студенческих отрядов и их популяризация среди молодежи для социальной, личностной и профессиональной самореализации через дополнительное образование участников студенческих отрядов и продвижение студенческих отрядов среди моолодежи.;Социальная
"""Кадры памяти"". Республиканский конкурс среди органов студенческого самоуправления. (Создание архива фото и видеодокументов с воспоминаниями участников ВОВ в целях исключения фальсификации исторических событий и фактов).";Социальная
Межрегиональный научно-образовательный лагерь для студентов, аспирантов и молодых ученых «Этнокультурные традиции в образовании»;Учебная
«Молодежная Перспектива»;Социальная
Военно-спортивные игры молодежи и студентов Алтайского края, как средство улучшения здорового образа жизни и патриотического воспитания населения;Социальная
Российский фестиваль студенческих театров «Театральные встречи-2015»;Социальная
Цветик семицветик;Социальная
«Юристы - населению»;Учебная
Общероссийский с международным участием молодежный Биос-форум 2014;Социальная
«ТОСовский призыв!» (Региональный центр развития территориального общественного самоуправления Орловской области);Социальная
"Добровольческий студенческий строительный отряд безвозмездного труда ""Красная гвоздика""";Социальная
Создание ресурсного центра в сфере банковского дела для студентов и специалистов Республики Крым и города федерального значения Севастополь;Учебная
Социального медиапроекта профессиональной социальной сети международного обмена «Клуб Международных стажировок студентов»;Учебная
«Молодежная бизнес – среда. Стратегия роста»;Учебная
Развитие научно-технического творчества молодежи Республики Ингушетия.;Учебная
«Таргим 2014»;Социальная
Общественная Дума;Социальная
Укрепление гражданского единства в студенческой среде;Социальная
"Молодежный студенческий лагерь – десант ""ЖИЗНЕСТРОЙ-2014"" г. Верхний Тагил";Социальная
Развитие студенческих строительных отрядов в Тамбовской области;Социальная
Молодые и перспективные;Социальная
День студенческого футбола;Социальная
"""Память о великом подвиге живет в серцах"" (комплекс мероприятий патриотической направленности с участием  школьников, учащихся и студентов учебных заведений).";Социальная
"Условия формирования качества жизни студентов различных учебных отделений в системе высшего профессионального образования (на примере ФГАОУ ВПО ""Дальневосточный федеральный университет"")";Социальная
"«Открытие молодежного событийного пространства  "" Красилово""»";Социальная
Программа подготовки студентов вузов Южного и Северо-Кавказского федеральных округов к сдаче норм ГТО;Социальная
Технологическоая платформа для агрегации и дистанционного обеспечения нормативно-правовой информацией студентов ВУЗов;Учебная
Большие студенческие игры;Социальная
Поддержка глухих и слабослышащих с помощью изучения их проблем и образа жизни, привлечения внимания к их положению и разработке программы по развитию взаимопонимания с ними в подростковой и студенческой среде.;Социальная
Особенности обыденного политического сознания современных студентов (представления о Конституции и коррупции);Научная
"""Искать, нельзя забыть"" (создание системы привлечения учащихся и студентов образовательных учреждений г. Челябинска к проведению поисковой работы по периоду Великой Отечественной войны 1941-1945 гг.).";Социальная
Формирование системы общественного экологического контроля за чистую окружающую среду на основе межрегиональных Биос-школ;Учебная
Учебный центр студенческих отрядов;Учебная
«Укрощение льва» (обучение студентов английскому языку при помощи веб-сервиса LinguaLeo).;Учебная
Русский язык и современные коммуникации в международном сообществе детей и молодежи;Социальная
Россия глазами иностранцев: развитие межкультурного диалога и содействие взаимной интеграции молодежи России и стран мира;Социальная
Общегородское студенческое образовательно-информационное радио «МегаБайт»;Учебная
