Некоммерческая организация «Союз студенческих землячеств»;Формирование гражданской идентичности у молодежи – залог будущего России;Российский Союз Молодежи;1 конкурс;2013 год;2500000;От 1 млн до 3 млн
Астраханская областная общественная организация по патриотическому, правовому и физическому развитию молодежи;"""Растим патриотов России"" (участие школьников и студентов Астраханской области в экспедициях по поиску и перезахоронению без вести пропавших воинов, погибших в годы Великой Отечественной войны).";Национальный благотворительный фонд;1 конкурс;2013 год;1200000;От 1 млн до 3 млн
"Национальный благотворительный Фонд поддержки работ по адаптации городской среды для маломобильных групп населения ""Город без барьеров""";Научно - просветительская программа содействия развитию образовательных процессов и осуществлению научных разработок молодежи: Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Российский Союз Молодежи;1 конкурс;2013 год;3100000;От 3 млн до 5 млн
Автономная некоммерческая организация «Центр гражданской инициативы «Третий сектор»;Возрождение традиций слетов студенческой молодежи в ВУЗах ЦФО;Российский Союз Молодежи;1 конкурс;2013 год;2491000;От 1 млн до 3 млн
"Некоммерческое Партнерство содействия развитию интеллектуального и творческого потенциала молодежи ""Лифт в будущее""";Создание интерактивной развивающей социальной среды «Лифт в будущее» для российских школьников старших классов и студентов. Разработка инструментов и сервисов для эффективного онлайн и оффлайн взаимодействия участников сети с вузами, работодателями, другими наставниками, позволяющие им создать индивидуальную образовательную траекторию;Российский Союз Молодежи;1 конкурс;2013 год;1207000;От 1 млн до 3 млн
Всероссийская общественная моложеная организация «Всероссийский студенческий корпус спасателей»;Создание добровольных студенческих спасательных отрядов на территории РФ;Российский Союз Молодежи;1 конкурс;2013 год;4000000;От 3 млн до 5 млн
Автономная некоммерческая организация «Молодежный досуговый центр «Старт»;«Московская студенческая дискуссионная площадка – МСДП»;Российский Союз Молодежи;1 конкурс;2013 год;7000000;От 7 млн до 10 млн
Региональная молодежная общественная организация «Лига студентов Республики Татарстан»;Молодежный творческий проект «СТУД’ЗВЕЗДА»;Российский Союз Молодежи;1 конкурс;2013 год;900000;Меньше 1 млн
"Территориальная организация студентов столицы Общероссийской общественной организации - ""Российский студенческий профессиональный союз""";"Молодежный центр ""Перспектива""";Институт проблем гражданского общества;1 конкурс;2013 год;1600000;От 1 млн до 3 млн
Региональная общественная организация поддержки и развития молодежных инициатив «Креатив-Прогресс-Движение»;«Электронный студенческий билет»;Российский Союз Молодежи;1 конкурс;2013 год;6000000;От 5 млн до 7 млн
Молодежная общероссийская общественная организация «Российские Студенческие Отряды»;Программа популяризации рабочих и инженерно-технических профессий среди молодежи через систему развития движения студенческих отрядов;Российский Союз Молодежи;1 конкурс;2013 год;4500000;От 3 млн до 5 млн
Некоммерческая организация Ассоциация «Содействие вузам»;Повышение социальной активности студенческой молодежи в ВУЗах Российской Федерации;Российский Союз Молодежи;1 конкурс;2013 год;3000000;От 3 млн до 5 млн
"Автономная некоммерческая организация ""Московский центр международных образовательных программ и стажировок, трудоустройства, психологической поддержки студентов и выпускников вузов""";Комплекс мероприятий в сфере приобщения студенческой молодежи к спорту и здоровому образу жизни «Спортивный город»;Лига здоровья нации;1 конкурс;2013 год;1500000;От 1 млн до 3 млн
