name;type;reg;god
Автономная некоммерческая организация «Межвузовский центр содействия научной и инновационной деятельности студентов и молодых ученых»;Автономная некоммерческая организация;Новосибирская область;2012
"Автономная некоммерческая организация ""Самарский Губернский студенческий хор ""София""";Автономная некоммерческая организация;Самарская область;2008
"Автономная некоммерческая организация ""Ассоциация студенческих отрядов ""Стимул""";Автономная некоммерческая организация;Оренбургская область;2009
"Автономная некоммерческая организация ""Ассоциация студенческих педагогических отрядов""";Автономная некоммерческая организация;Томская область;2006
"Автономная некоммерческая организация ""Ассоциация учителе, преподавателей и студентов французского языка Республики Башкортостан""";Автономная некоммерческая организация;Республика Башкортостан;2009
"Автономная некоммерческая организация ""Виртуальный студенческий городок МИИТа""";Автономная некоммерческая организация;Москва;2004
"Автономная некоммерческая организация Интеллектуальный студенческий клуб ""Искра""";Автономная некоммерческая организация;Нижегородская область;2008
"Автономная некоммерческая организация ""Калужский студенческий бизнес-инкубатор""";Автономная некоммерческая организация;Калужская область;2013
"Автономная некоммерческая организация ""Карельский штаб студенческих трудовых отрядов""";Автономная некоммерческая организация;Республика Карелия;2005
"Автономная некоммерческая организация ""Межвузовский центр социально-культурной адаптации студентов с инвалидностью ""Интегро""";Автономная некоммерческая организация;Томская область;2013
"Автономная некоммерческая организация ""Международная студенческая баскетбольная лига""";Автономная некоммерческая организация;Москва;2012
"Автономная некоммерческая организация ""Московский центр международных образовательных программ и стажировок, трудоустройства, психологической поддержки студентов и выпускников вузов""";Автономная некоммерческая организация;Москва;2003
"Автономная некоммерческая организация ""Научно-культурный Центр казахстанских студентов""";Автономная некоммерческая организация;Москва;2009
"Автономная некоммерческая организация ""Нижнекамский центр студенческих трудовых отрядов""";Автономная некоммерческая организация;Республика Татарстан (Татарстан);2002
"Автономная некоммерческая организация оказания помощи иностранным студентам в адаптации и построении социальных связей ""Бадди Билдинг Клаб""";Автономная некоммерческая организация;Томская область;2014
"Автономная некоммерческая организация ""Организация студентов АЙСЕК""";Автономная некоммерческая организация;Республика Татарстан (Татарстан);2003
"Автономная некоммерческая организация ""Открытый студенческий театр""";Автономная некоммерческая организация;Свердловская область;2011
"Автономная некоммерческая организация ""Пермское молодежно-студенческое объединение ""Урал-сервис""";Автономная некоммерческая организация;Пермский край;2002
"Автономная некоммерческая организация по оказанию услуг в области культуры и просвещения ""Союз студентов технических специальностей ""БЭСТ Санкт-Петербург""";Автономная некоммерческая организация;Санкт-Петербург;2012
"Автономная некоммерческая организация ""Поддержки и развития студенческого спорта""";Автономная некоммерческая организация;Хабаровский край;2003
"Автономная некоммерческая организация ""Развитие студенческого и молодежного спорта""";Автономная некоммерческая организация;Москва;2012
"Автономная некоммерческая организация ""Развитие студенческого спорта в Красноярском крае""";Автономная некоммерческая организация;Красноярский край;2013
"Автономная некоммерческая организация Республиканский центр молодежных и студенческих формирований по охране общественного порядка ""Форпост""";Автономная некоммерческая организация;Республика Татарстан (Татарстан);2003
"Автономная некоммерческая организация ""Санкт-Петербургская студенческая футбольная лига""";Автономная некоммерческая организация;Санкт-Петербург;2012
"Автономная некоммерческая организация ""Социально-культурный центр содействия и поддержки турецких студентов""";Автономная некоммерческая организация;Москва;2013
"Автономная некоммерческая организация ""Спортивное студенческое общество ""Буревестник""";Автономная некоммерческая организация;Республика Мордовия;2007
"Автономная некоммерческая организация ""Спортивный детско-молодежный студенческий клуб ""Волга""";Автономная некоммерческая организация;Самарская область;2008
"Автономная некоммерческая организация ""Федерация бокса студентов Приволжского федерального округа""";Автономная некоммерческая организация;Самарская область;2014
"Автономная некоммерческая организация ""Центр образовательных культурных и оздоровительных программ молодежи и студенчества""";Автономная некоммерческая организация;Москва;2002
"Автономная некоммерческая организация Центр по управлению и обеспечению мероприятий ""Формула студент академия""";Автономная некоммерческая организация;Москва;2003
"Автономная некоммерческая организация ""Центр поддержки иностранных студентов""";Автономная некоммерческая организация;Москва;2011
"Автономная некоммерческая организация ""Центр поддержки студенчества ""Здоровое питание""";Автономная некоммерческая организация;Московская область;2010
"Автономная некоммерческая организация ""Центр развития студенческого спорта""";Автономная некоммерческая организация;Ханты-Мансийский автономный округ – Югра;2013
"Автономная некоммерческая организация ""Центр студенческих инициатив ""Северо-Запад""""";Автономная некоммерческая организация;Санкт-Петербург;2011
"Автономная некоммерческая организация ""Центр студенческих обменов""";Автономная некоммерческая организация;Москва;2002
"Автономная некоммерческая организация ""Центр студенческих отрядов ВАО""";Автономная некоммерческая организация;Москва;2005
"Автономная некоммерческая организация ""Центр студенческих программ Российского Союза Молодежи""";Автономная некоммерческая организация;Москва;2013
"Автономная некоммерческая организация ""Штаб молодежно-студенческих отрядов по Западному административному округу""";Автономная некоммерческая организация;Москва;2004
"Автономная некоммерческая организация ""Штаб молодежно-студенческих отрядов по Южному административному округу""";Автономная некоммерческая организация;Москва;2004
"Автономная некоммерческая организация ""Штаб студенческих отрядов средне-специальных учебных заведений Республики Саха (Якутия)""";Автономная некоммерческая организация;Республика Саха (Якутия);2013
"Автономная некоммерческая организация ""Штаб студенческих трудовых отрядов Ивановской области""";Автономная некоммерческая организация;Ивановская область;2011
"Алтайская краевая общественная организация по работе со студентами ""Молодежный формат""";Общественная организация;Алтайский край;2009
"Алтайская региональная общественная организация ""Федерация бокса студентов Алтайского края""";Общественная организация;Алтайский край;2010
"Алтайское региональное отделение молодежной общероссийской общественной организации ""Российские студенческие отряды""";Общественная организация;Алтайский край;2012
"Амурская областная молодежная общественная организация ""Амурский подготовительный комитет Всемирных фестивалей молодежи и студентов""";Общественная организация;Амурская область;
"Амурская региональная молодёжная общественная организация ""Амурский региональный студенческий отряд""";Общественная организация;Амурская область;2010
"Амурский областной студенческий спортивный клуб ""Буревестник""";Общественная организация;Амурская область;
Ассоциация молодежных и студенческих организаций Калининградской области;Объединения (союз, ассоциация) юридических лиц;Калининградская область;
Ассоциация по координации деятельности организаций в области развития и популяризации гандбола среди студентов;Объединения (союз, ассоциация) юридических лиц;Астраханская область;2008
Ассоциация профсоюзных организаций студентов Воронежской области;Союз (ассоциация) общественных объединений;Воронежская область;2002
Ассоциация профсоюзных организаций студентов вузов Ивановской области;Профессиональный союз;Ивановская область;2003
Ассоциация профсоюзных организаций студентов высших учебных заведений РСО-Алания;Профессиональный союз;Республика Северная Осетия - Алания;
Ассоциация профсоюзных организаций студентов Нижегородской области;Профессиональный союз;Нижегородская область;2002
Ассоциация профсоюзных организаций студентов Новосибирской области;Объединения (союз, ассоциация) юридических лиц;Новосибирская область;2005
Ассоциация профсоюзных организаций студентов образовательных учреждений высшего профессионального образования Свердловской области;Общественная организация;Свердловская область;2003
Ассоциация профсоюзных организаций студентов Орловской области;Профессиональный союз;Орловская область;2002
Ассоциация профсоюзных организаций студентов Самарской области;Союз (ассоциация) общественных объединений;Самарская область;2003
"""Ассоциация студенческих профсоюзных организаций ВУЗов Чеченской Республики"" (АПОС ЧР) - территориальная организация ""Российской ассоциации студенческих профсоюзных организаций высших учебных заведений ""(РАПОС)""";Союз (ассоциация) общественных объединений;Чеченская Республика;2003
Ассоциация студенческих профсоюзных организаций Московской области;Общественная организация;Московская область;2003
Ассоциация учреждений здравоохранения, оказывающих помощь студенческой молодёжи;Объединения (союз, ассоциация) юридических лиц;Воронежская область;2012
Башкирское республиканское отделение Общероссийской общественной организации инвалидов- Российской ассоциации незрячих студентов и специалистов;Общественная организация;Республика Башкортостан;2003
"Белгородская местная молодёжная общественная организация ""Белгородский городской Союз студентов""";Общественная организация;Белгородская область;2012
"Белгородская региональная молодежная общественная организация ""Союз учащихся, студентов и аспирантов Белгородской области""";Общественная организация;Белгородская область;2002
