"Негосударственное образовательное учреждение Высшее профессиональное образование ""Сергиево-Посадский гуманитарный институт""";Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Российский Союз Молодежи;2
"Первичная профсоюзная организация студентов и аспирантов в федеральном государственном бюджетном образовательном учреждении высшего профессионального образования ""Мордовский государственный университет им. Н.П. Огарёва""";Создание условий для занятий физической культурой для студентов с ограниченными возможностями здоровья;Лига здоровья нации;14
Санкт-Петербургская региональная общественная студенческая физкультурно-спортивная организация «Буревестник»;Студенческая футбольная лига Санкт-Петербурга;Российский Союз Молодежи;20
"Чеченская региональная общественная организация информационно-правовой центр ""Элиф""";Укрепление гражданского общества в Чеченской Республике через поддержку студенческого правового волонтерского движения и бесплатную юридическую помощь нуждающемуся населению.;Общероссийское общественное движение «Гражданское достоинство»;23
Всероссийская общественная молодежная организация «Всероссийский студенческий корпус спасателей»;Создание в регионах РФ оснащенных дежурных пунктов координации и управления добровольными студенческими спасательными отрядами;Российский Союз Молодежи;29
"Национальный благотворительный Фонд поддержки работ по адаптации городской среды для маломобильных групп населения ""Город без барьеров""";Научно - просветительская программа содействия развитию образовательных процессов молодежи: Общероссийский конкурс студенческих работ в области Универсального дизайна и создания без барьерной городской среды для маломобильных групп населения.;Российский Союз Молодежи;30
Негосударственное образовательное учреждение Высшего профессионального образования «Сергиево – Посадский гуманитарный институт»;Организация инновационного межвузовского Завода-лаборатории для производственной практики студентов;Институт проблем гражданского общества;49
Автономная некоммерческая организация «Экспертно-аналитический Центр по модернизации и технологическому развитию экономики»;Система правовой поддержки студентов «СТУДЕНТПРАВ»;Общероссийское общественное движение «Гражданское достоинство»;55
"Оренбургская региональная молодежная общественная организация ""Социальное агентство ""Здоровье молодежи""";«Формирование межнациональной и межконфессиональной толерантности на базе центра профилактического сопровождение студентов Оренбургского государственного аграрного университета».;Национальный благотворительный фонд;62
Первичная организация профсоюза студентов и аспирантов Ивановского государственного университета;Содействие в создании условий для реализации права на труд по специальности студентам Ивановской области, приобретающим педагогическую профессию;Общероссийское общественное движение «Гражданское достоинство»;65
Фонд поддержки и развития движения студенческих отрядов;Программа развития и повышения качества работы студенческих педагогических отрядов, путем стандартизации норм подготовки и эффективной деятельности Всероссийской опорной площадки СПО;Российский Союз Молодежи;69
"Молодежное общероссийская общественная организация ""Российские Студенческие Отряды""";Программа развития детельности студенческих отрядов и их популяризация среди молодежи для социальной, личностной и профессиональной самореализации через дополнительное образование участников студенческих отрядов и продвижение студенческих отрядов среди моолодежи.;Российский Союз Молодежи;70
"Чувашское региональное отделение Молодежной общероссийской общественной организации ""Российские Студенческие Отряды""";"""Кадры памяти"". Республиканский конкурс среди органов студенческого самоуправления. (Создание архива фото и видеодокументов с воспоминаниями участников ВОВ в целях исключения фальсификации исторических событий и фактов).";Национальный благотворительный фонд;71
Негосударственное образовательное учреждение высшего профессионального образования «Мордовский гуманитарный институт»;Межрегиональный научно-образовательный лагерь для студентов, аспирантов и молодых ученых «Этнокультурные традиции в образовании»;Российский Союз Молодежи;99
"Территориальная организация студентов столицы Общероссийской общественной организации - ""Российский студенческий профессиональный союз""";«Молодежная Перспектива»;Российский Союз Молодежи;101
"РУБЦОВСКАЯ ГОРОДСКАЯ ОРГАНИЗАЦИЯ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ОБЩЕСТВА ""ЗНАНИЕ"" РОССИИ";Военно-спортивные игры молодежи и студентов Алтайского края, как средство улучшения здорового образа жизни и патриотического воспитания населения;Лига здоровья нации;115
Ассоциация профсоюзных организаций студентов образовательных учреждений высшего профессионального образования Свердловской области;Российский фестиваль студенческих театров «Театральные встречи-2015»;Российский Союз Молодежи;117
Самарское региональное отделение Общероссийской общественной организации инвалидов ( ОООИ) – Российской ассоциации незрячих студентов и специалистов (РАНСиС);Цветик семицветик;Российский Союз Молодежи;119
Алтайская краевая молодежная общественная организация «Лига студентов АГУ»;«Юристы - населению»;Общероссийское общественное движение «Гражданское достоинство»;126
